"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"30",33,9998018998.30643,9998555284.25919,0.0659887473632428,1.23914221266253,10,4845711.39313349,10,1952.92753710222,1931.77961473462,-10
"31",34,9997733029.6668,9992424313.88666,0.000109548253763907,1.85953427464098,10,421691.844531638,-10,1506.02993485609,1777.10311563911,-10
"32",35,0.260200828114132,0.0105559785148283,-5.28823979740289,0,-10,0,-10,0,0.0104873489122993,0.980994144779469
"33",36,0.395538140219737,0.00680605756365881,-5.31595137912302,0,-10,0,-9.80410225480053,0,0.00646335364281165,0.870391337077776
"34",37,9999250580.56507,9999163919.59124,0.000568364189275042,0.279386116711738,10,1620240.53624463,10,2989.04369665011,4121.04312255572,-10
"35",38,9999135124.50378,9998865118.53029,0.186499379007543,4.11360791631712,10,0.139632893145442,10,0.00371556902880225,0,2.06998090160681
"36",39,9998413404.28189,9998375616.5389,0.0172313097421106,233857.372993626,10,299731.002377687,10,1048.69203387216,940.148772610292,-10
"37",40,9999005892.42287,9998599543.83918,0.0646236651375005,1.58186471883324,10,0.519161904375168,10,2719.63467673021,1737.68310231062,-10
"38",42,0.212035577437276,0.00333339802765636,-0.234903276316096,0.000345786182933091,0.150629270902852,0.00163983259347968,-2.09406298090733,0,0.00353955173684248,0.949369085173418
"39",43,0.115799913321585,0.000340113417911737,-0.21344148849505,0.000974035909179416,0.134703847860565,0,-0.213446924315264,0,0.000639820460830655,0.958798552914818
"40",44,2.20709656891112,0.603914904241295,-0.0173515572247462,0.168275453025989,3.43490528285837,0.895163127742001,-7.6206314306774,0,0.168272232224553,3.43488009933686
"41",45,2.21004579091801,0.29761735350685,-0.160266957225136,0.0374476539178163,6.9851512682051,0.120342054848504,-7.28576621443315,0.000784337244517106,0.00431388263653559,-1.16474713348155
"42",46,9998599327.3322,9994480926.48637,0.553654453705582,12.6435091640341,10,0.000890040471416524,2.01938119557307,0,0,0.553662565424382
"43",47,0.458935280312639,0.0125384161990666,-0.15989321989204,0.000511144156003054,0.145316328007089,0.000970545040293478,-0.714250113115796,0,0.0115392238396343,0.873187028834214
"44",49,0.30228853267137,0.00698554420813424,-0.260742371003885,0.000638471192198523,-10,0.00181039524657267,-2.33215380406384,0,0.0068713212394348,0.984704399829784
"45",50,0.790597741472669,0.0563252502529208,-0.19879353502871,0,-0.198801453101789,0.0614019379937011,-6.64458661071216,0.00097155689166773,0,-0.532190540285052
"46",51,9994632796.61658,9998634627.29775,0.139637910471006,7.14523278656598,10,0.201291704305574,10,0.201291610274799,0,10
"47",52,0.131208523573253,0.288983164933803,0.0226779417828708,0.189246797963176,2.1825786380109,0.191926952749532,1.43841195466372,0.191956817810248,0,1.43858272303223
"48",53,9994037267.73068,9999134334.25436,0.228533445552889,1.91330020204931,10,0.1060391254457,10,0.000611805402961488,0,1.61611018570124
"49",54,0.347986100872355,0.00640083934518574,-0.149611157253486,0.000500720478668015,0.114551994943817,0,-0.149614128683141,0,0.00653817538272,0.931188080718443
"50",55,0.829404284329347,0.024689208751521,-0.231532430244493,0.000669569788387637,-10,0,-0.23153429904238,0,0.00066928444753939,2.37162652663013
"51",56,0.144571987135296,0.0018261658342722,-0.0819945532574726,0.000619148120251448,0.153370316827182,0,-0.0819851156634259,0,0.001876329762922,1.00840956011339
"52",57,9998674454.05501,9999999702.5795,0.193531383128914,1.80976143907242,10,0.129244401120456,10,0.00157532631007051,0,1.69654121301588
"53",58,0.0158363506362934,5.8811045049607e-05,0.0510528562953898,0.000685197207523628,0.202970434056752,0.00185144561544717,0.476423690023843,0.000834491024859836,0.0123800932031838,0.660883928768573
"54",59,0.657706922793971,0.0290536778026863,-0.0907753174750012,0.000408459617356984,-10,0,-0.0907683815610367,0,0.000982228683018461,-10
"55",60,0.0117121974462203,5.8811045049607e-05,0.0630235621154489,0.00069936204792995,0.233673849228278,0.0019867382124568,0.599930997055331,0.0028466334527452,0,0.645000565923559
"56",61,0.022933032873678,5.8811045049607e-05,0.047609692862092,0.000702778748978112,0.206535548695241,0.00231608555429076,0.474137386472428,0.000680008317845809,0.0217569631617624,1.03485871439545
"57",62,9979773873.3455,9994067646.37582,-0.000510199205482966,6.02071373002652,10,210013.131442309,-9.99999854830761,552.359096349816,929.426684684008,-10
"58",63,9974731002.91821,9995311634.03876,0.00941552424494557,14.2580692237666,10,362042.676288145,-10,458.987659745895,691.28057390561,-10
"59",64,0.162566814446026,5.8811045049607e-05,-0.119506923396374,0.000979573714622572,0.134026040145782,0.000994779205992999,-1.00477591651127,0,0.000524560204454691,0.974426378620322
