"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"53",58,0.0221314078382535,5.8811045049607e-05,0.0410102242625067,0.000691973513072756,0.181812789513914,0.00143632763645141,0.364994401207468,0.000434880197190874,0.0212113107910088,0.685666629634507
"54",59,0.542074268201777,0.0427315027130525,-0.0901970998865625,0.000310229689862642,-10,0,-0.0902060942157425,0,0.000736079381370637,-10
"55",60,0.0263429399711914,5.8811045049607e-05,0.042428680918413,0.000702429100841173,0.201178902686695,0.00189019980022704,0.395301770351669,0.000635955071960322,0.000651206149157188,0.358929150335527
"56",61,0.0393477339303765,5.8811045049607e-05,0.0193011656725024,0.000697008308528827,0.171917034812477,0.000652157488948252,0.145239988586055,0,0.000485443919633122,0.978661468129084
"57",62,13.2702590799233,10.4514435661704,0.00363463603378394,1.07753539248638,3.40448990593119,6.4362771660368,-10,0.953461547821509,0.555959147749067,-4.34677203026528
"58",63,9994683822.89677,9996480589.45276,0.0108729432578851,15.8860580982546,10,637289.451228619,-9.99999852798477,0.339287110664701,25.1846926079169,-10
"59",64,1.2991596416825,0.0247397114744799,-0.305681141908288,0.000934543616264273,-10,0,-0.305681900226075,0,0.0231269749449269,0.818283069287973
"60",66,9999478475.67972,9998656754.3427,0.0960487357206173,1.4770027545571,10,0.286036544288613,10,7153.91096842047,5217.41101915916,-10
"61",67,0.835482734243022,0.721895955559842,-0.0248535335266417,0.944641222708729,-2.82350043799909,0.58630092106513,-5.72640580303725,0,0.944689734631355,-2.82417367446611
"62",68,0.22582300565362,0.0046744360778498,-5.27856298963393,0.000618683701862442,0.112256967356868,0,-10,0,0.00440013368349522,0.92142701901071
"63",69,1.00016461528604,0.176971870429684,-0.0620539150107516,-1.11022302462516e-16,-4.64291038600575,0.281758809822855,-6.71342279910121,0,0.00725667368099299,-10
"64",70,9999905694.28361,9999687064.17913,0.0409052789488665,1.05142135624354,10,4162527.79142449,10,2979.49972445852,4240.90000564737,-10
"65",71,9997773292.38121,9999037401.47188,0.0255531854276497,4.84679897612937,10,544392.949418312,10,1141.76871749876,2281.70018936387,-10
"66",72,2.16004805444669,0.152898314392597,-0.123400941785617,0.000833455902600187,-10,0.00312476870554303,-1.27390713845219,0,0.000774322745469699,-10
"67",73,9999126041.42064,9999133172.03936,0.0490881551414725,3.49566405508945,10,693081.065097884,10,0.000618942538521519,12.3533405295024,-10
